,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
126,Dikembe Mutombo,34,2TM,C,75,75,34.5,3.6,7.4,.484,0.0,0.0,,3.6,7.4,.484,.484,2.8,3.9,.725,4.1,9.4,13.5,1.0,0.4,2.7,1.9,2.7,10.0
127,Dikembe Mutombo,34,ATL,C,49,49,35.0,3.4,7.2,.477,0.0,0.0,,3.4,7.2,.477,.477,2.2,3.1,.695,3.8,10.3,14.1,1.1,0.4,2.8,1.9,2.8,9.1
128,Dikembe Mutombo,34,PHI,C,26,26,33.7,3.8,7.8,.495,0.0,0.0,,3.8,7.8,.495,.495,4.0,5.3,.759,4.6,7.8,12.4,0.8,0.3,2.5,2.0,2.5,11.7
129,Corey Maggette,21,LAC,SF,69,9,19.7,3.3,7.1,.462,0.2,0.8,.304,3.0,6.2,.483,.479,3.2,4.2,.774,1.3,2.9,4.2,1.2,0.5,0.1,1.5,2.0,10.0
130,Larry Johnson,31,NYK,PF,65,65,32.4,3.8,9.2,.411,0.8,2.5,.313,3.0,6.7,.448,.454,1.6,2.0,.797,1.4,4.2,5.6,2.0,0.6,0.4,1.5,3.2,9.9
131,Anfernee Hardaway,29,PHO,SG,4,4,28.0,3.8,9.0,.417,0.5,2.0,.250,3.3,7.0,.464,.444,1.8,2.8,.636,1.3,3.3,4.5,3.8,1.5,0.3,0.8,1.5,9.8
132,Eric Snow,27,PHI,PG,50,50,34.8,3.6,8.7,.418,0.1,0.4,.263,3.5,8.3,.425,.424,2.4,3.1,.792,0.5,2.8,3.3,7.4,1.5,0.1,2.5,2.5,9.8
133,Alvin Williams,26,TOR,SG,82,34,29.2,4.0,9.4,.430,0.4,1.3,.306,3.6,8.0,.451,.452,1.3,1.8,.752,0.6,2.0,2.6,5.0,1.5,0.3,1.3,2.1,9.8
134,Bryant Stith,30,BOS,SG,78,74,32.1,3.1,7.8,.401,1.2,3.1,.376,2.0,4.7,.417,.475,2.2,2.7,.845,0.8,2.8,3.6,2.2,1.2,0.2,1.2,2.3,9.7
135,Roshown McLeod,25,2TM,SF,35,25,26.3,4.1,9.5,.437,0.1,0.6,.091,4.1,8.9,.461,.440,1.3,1.5,.882,1.1,2.3,3.4,1.7,0.7,0.2,1.7,2.6,9.6
136,Roshown McLeod,25,ATL,SF,34,25,26.7,4.2,9.7,.436,0.1,0.6,.095,4.2,9.1,.460,.439,1.3,1.5,.882,1.1,2.4,3.5,1.7,0.7,0.2,1.7,2.6,9.9
137,Roshown McLeod,25,PHI,SF,1,0,15.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0
138,Patrick Ewing,38,SEA,C,79,79,26.7,3.7,8.7,.430,0.0,0.0,.000,3.7,8.6,.431,.430,2.2,3.2,.685,1.6,5.8,7.4,1.2,0.7,1.2,1.9,2.9,9.6
139,Rick Fox,31,LAL,SF,82,77,27.9,3.5,7.9,.444,1.4,3.7,.393,2.1,4.2,.488,.536,1.2,1.5,.779,1.0,3.0,4.0,3.2,0.9,0.4,1.7,2.7,9.6
140,Tyrone Hill,32,PHI,PF,76,75,31.1,3.7,7.7,.474,0.0,0.0,.000,3.7,7.7,.474,.474,2.3,3.6,.630,3.1,5.9,9.0,0.6,0.5,0.4,1.7,3.2,9.6
141,George McCloud,33,DEN,SF,76,8,26.4,3.3,8.6,.382,1.0,3.1,.329,2.3,5.5,.411,.440,2.0,2.4,.840,0.7,2.2,2.9,3.7,0.7,0.4,1.5,2.2,9.6
142,Charles Oakley,37,TOR,PF,78,77,35.5,3.9,10.1,.388,0.1,0.6,.224,3.8,9.4,.399,.395,1.6,1.9,.836,1.8,7.7,9.5,3.4,1.0,0.6,1.8,3.3,9.6
143,Courtney Alexander,23,2TM,PG,65,24,21.3,3.7,8.8,.417,0.3,0.7,.370,3.4,8.1,.421,.432,1.9,2.3,.820,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5
144,Courtney Alexander,23,DAL,PG,38,6,12.4,1.6,4.7,.348,0.1,0.3,.300,1.6,4.4,.351,.357,0.9,1.2,.733,0.5,1.1,1.7,0.6,0.4,0.1,0.6,2.0,4.2
145,Courtney Alexander,23,WAS,PG,27,18,33.7,6.6,14.6,.448,0.5,1.3,.389,6.0,13.3,.454,.466,3.3,3.9,.857,0.8,2.1,3.0,1.5,1.1,0.1,2.0,2.3,17.0
146,Marcus Fizer,22,CHI,PF,72,13,21.9,3.9,9.0,.430,0.1,0.5,.256,3.7,8.4,.442,.438,1.6,2.2,.727,1.1,3.3,4.3,1.1,0.4,0.3,1.7,2.4,9.5
147,Chris Whitney,29,WAS,PG,59,31,26.0,3.1,8.0,.387,1.6,4.2,.375,1.5,3.8,.401,.486,1.7,1.9,.894,0.2,1.6,1.8,4.2,0.9,0.1,1.7,2.5,9.5
148,Antonio Daniels,25,SAS,PG,79,23,26.1,3.5,7.4,.468,0.9,2.3,.404,2.5,5.1,.496,.531,1.5,2.0,.776,0.3,1.7,2.1,3.8,0.8,0.2,1.4,1.5,9.4
149,LaPhonso Ellis,30,MIN,PF,82,5,23.8,3.6,7.8,.464,0.1,0.3,.318,3.5,7.6,.469,.470,2.1,2.6,.790,2.4,3.6,6.0,1.1,0.8,0.9,1.3,3.5,9.4
150,Lucious Harris,30,NJN,SG,73,50,28.4,3.6,8.5,.425,0.6,1.8,.348,3.0,6.7,.445,.462,1.5,1.9,.770,1.0,3.0,3.9,1.8,1.0,0.2,0.9,1.7,9.4
151,Darius Miles,19,LAC,SF,81,21,26.3,3.9,7.8,.505,0.0,0.2,.053,3.9,7.5,.519,.506,1.5,2.9,.521,1.6,4.3,5.9,1.2,0.6,1.5,1.8,2.4,9.4
152,Jason Williams,25,SAC,PG,77,77,29.7,3.6,9.0,.407,1.3,4.0,.315,2.4,4.9,.483,.478,0.8,1.0,.789,0.2,2.2,2.4,5.4,1.2,0.1,2.1,1.5,9.4
153,Christian Laettner,31,2TM,C,78,48,21.3,3.6,7.1,.503,0.1,0.2,.308,3.5,6.9,.507,.506,2.2,2.6,.833,1.5,3.2,4.7,1.6,0.9,0.6,1.8,3.1,9.3
154,Christian Laettner,31,DAL,C,53,35,17.5,3.1,6.1,.511,0.0,0.1,.333,3.1,6.0,.513,.512,1.3,1.5,.817,1.4,2.6,4.0,1.3,0.8,0.5,1.3,3.0,7.5
155,Christian Laettner,31,WAS,PF,25,13,29.3,4.5,9.1,.491,0.1,0.4,.300,4.4,8.7,.500,.498,4.1,4.9,.844,1.7,4.4,6.1,2.3,1.2,0.8,2.7,3.3,13.2
156,Kevin Willis,38,2TM,C,78,22,23.5,3.9,8.8,.441,0.0,0.1,.167,3.9,8.8,.443,.441,1.4,1.9,.769,2.3,4.6,6.8,0.6,0.7,0.7,1.1,2.8,9.3
157,Kevin Willis,38,TOR,C,35,9,22.0,3.5,7.7,.461,0.0,0.1,.000,3.5,7.6,.464,.461,1.7,2.3,.753,1.9,4.4,6.4,0.6,0.5,0.6,1.1,2.2,8.8
