,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
312,Tom Burleson,27,KCK,C,37,,272,7.8,.391,.029,.385,8.7,20.0,14.2,9.5,1.4,2.8,17.1,21.5,-0.6,0.5,-0.1,-0.012,-5.7,0.4,-5.3,-0.2
313,Brad Davis,24,2TM,PG,18,0,268,14.1,.593,.016,.254,1.8,5.4,3.7,25.9,2.3,0.2,16.7,13.3,0.5,0.1,0.6,.108,-0.6,-0.1,-0.7,0.1
314,Brad Davis,24,IND,PG,5,0,43,3.9,.400,.000,.571,0.0,5.0,2.4,13.4,3.2,0.0,25.5,10.6,0.0,0.0,0.0,-0.013,-4.8,0.2,-4.5,0.0
315,Brad Davis,24,UTA,PG,13,,225,16.0,.620,.018,.214,2.2,5.5,3.9,28.3,2.2,0.3,15.2,13.8,0.6,0.0,0.6,.131,0.2,-0.2,0.0,0.2
316,Billy Ray Bates,23,POR,SG,16,,235,24.1,.552,.130,.267,6.0,7.6,6.8,23.8,2.9,0.5,10.9,32.0,0.7,0.3,0.9,.188,3.7,0.6,4.3,0.5
317,Earl Tatum,26,CLE,SG,33,,225,9.3,.415,.064,.202,4.9,7.4,6.1,11.2,3.2,1.2,14.2,20.4,-0.3,0.2,0.0,-0.005,-3.6,0.8,-2.8,0.0
318,Irv Kiffin,28,SAS,SF,26,,212,3.7,.383,.000,.260,6.2,13.9,10.1,10.9,2.1,0.5,21.9,24.5,-0.7,0.1,-0.6,-0.128,-7.1,-1.5,-8.6,-0.5
319,Brad Holland,23,LAL,SG,38,,197,14.3,.477,.144,.154,2.4,6.6,4.7,14.8,3.5,0.3,10.5,25.2,0.1,0.2,0.3,.081,-2.9,0.3,-2.6,0.0
320,Marty Byrnes,23,LAL,SF,32,,194,6.3,.557,.000,.300,5.5,9.3,7.6,7.9,1.2,0.3,28.0,16.2,-0.1,0.2,0.0,.009,-4.4,-0.9,-5.2,-0.2
321,Phil Jackson,34,NJN,PF,16,,194,10.7,.645,.043,.217,6.4,6.4,6.4,8.6,1.2,1.1,15.2,11.8,0.3,0.2,0.5,.121,-2.0,0.3,-1.7,0.0
322,Sylvester Norris,22,SAS,C,17,,189,3.3,.438,.000,.140,5.8,18.3,12.2,3.6,0.7,3.3,29.4,12.9,-0.4,0.1,-0.2,-0.055,-6.1,-0.1,-6.2,-0.3
323,Gus Bailey,28,WSB,SG,20,,180,9.3,.467,.029,.371,3.3,12.4,7.8,17.8,1.8,1.2,21.3,11.3,0.0,0.2,0.2,.043,-3.0,1.3,-1.7,0.1
324,Tim Bassett,28,2TM,PF,12,,164,6.7,.419,.000,.441,7.1,14.0,10.6,9.7,2.2,0.0,18.1,11.6,-0.1,0.2,0.1,.033,-3.5,0.1,-3.4,-0.1
325,Tim Bassett,28,NJN,PF,7,,92,7.9,.440,.000,.545,7.9,12.4,10.1,5.5,2.5,0.0,12.8,13.1,0.0,0.1,0.1,.063,-3.5,0.1,-3.4,0.0
326,Tim Bassett,28,SAS,PF,5,,72,5.3,.375,.000,.250,6.1,16.0,11.1,15.1,1.8,0.0,27.3,9.6,-0.1,0.0,0.0,-0.005,-3.6,0.2,-3.4,0.0
327,John Coughran,28,GSW,SF,24,,160,6.0,.390,.111,.173,1.3,12.1,6.5,10.6,2.1,0.4,13.0,25.8,-0.4,0.1,-0.3,-0.086,-5.6,-0.9,-6.5,-0.3
328,Bubba Wilson,24,GSW,SG,16,,143,2.1,.308,.000,.240,4.5,8.0,6.2,10.0,0.7,0.0,22.4,10.3,-0.2,0.0,-0.2,-0.064,-4.4,-0.9,-5.3,-0.2
329,Bob Carrington,26,SDC,SG,10,,134,5.9,.444,.054,.216,4.7,5.8,5.2,2.9,1.4,0.4,11.0,13.6,0.0,0.0,0.0,.001,-4.0,-0.7,-4.6,-0.1
330,Lawrence Boston,23,WSB,PF,13,,125,12.6,.485,.000,.250,15.1,16.2,15.7,2.3,1.5,0.8,12.2,20.7,0.1,0.1,0.2,.075,-3.3,-0.7,-4.0,-0.1
331,Bernard Toone,23,PHI,PF,23,0,124,8.9,.402,.109,.156,10.9,17.8,14.5,13.8,1.5,2.2,19.0,27.2,-0.3,0.2,-0.1,-0.036,-5.1,-0.3,-5.4,-0.1
332,Ron Carter,23,IND,SG,13,0,117,4.2,.399,.000,.189,4.3,12.8,8.4,9.8,0.8,1.4,20.0,16.6,-0.2,0.1,-0.1,-0.058,-5.0,-0.8,-5.8,-0.2
333,Paul Mokeski,23,HOU,C,12,,113,4.4,.392,.000,.273,13.3,15.1,14.2,2.2,0.4,3.0,21.3,16.4,-0.2,0.1,-0.1,-0.041,-5.4,-1.0,-6.4,-0.2
334,Rudy White,26,HOU,SG,9,,106,9.6,.606,.000,.542,0.0,9.7,4.7,6.0,2.2,0.0,21.2,14.1,0.1,0.1,0.1,.052,-3.1,0.2,-2.9,0.0
335,John Kuester,24,IND,PG,24,0,100,11.1,.391,.029,.206,3.0,11.7,7.2,20.1,3.2,0.5,11.9,16.3,0.0,0.1,0.1,.039,-3.7,0.5,-3.1,0.0
336,Alonzo Bradley,26,HOU,SF,22,,96,4.1,.395,.021,.188,2.2,4.7,3.5,4.3,1.5,0.0,13.3,24.7,-0.2,0.0,-0.2,-0.097,-5.2,-1.6,-6.8,-0.2
337,Ralph Simpson,30,NJN,SG,8,,81,12.6,.399,.043,.213,7.7,6.4,7.0,26.6,5.0,0.0,18.9,30.2,-0.2,0.1,-0.1,-0.064,-3.1,0.2,-2.9,0.0
338,Ron Behagen,29,WSB,PF,6,,64,10.2,.449,.000,.261,9.3,12.7,11.0,14.4,0.0,3.3,13.5,18.3,0.0,0.1,0.1,.055,-3.7,0.3,-3.4,0.0
